site_idx,start_at
1,607.0
7,3150.0
1,3383.0
7,2588.0
6,2419.0
7,4051.0
4,1101.0
6,3404.0
4,820.0
4,1541.0
1,2923.0
7,984.0
7,3379.0
4,2554.0
1,3286.0
4,4080.0
7,2945.0
1,62.0
6,3926.0
6,3815.0
4,2995.0
7,2822.0
1,1462.0
7,2690.0
7,461.0
6,1751.0
7,1952.0
4,2610.0
6,1022.0
7,3181.0
1,3591.0
6,788.0
6,2486.0
6,1593.0
1,3468.0
1,965.0
1,3903.0
1,813.0
4,3631.0
4,262.0
4,3769.0
1,2174.0
4,569.0
6,4104.0
6,3071.0
6,699.0
4,1665.0
6,3027.0
6,290.0
7,3581.0
6,393.0
1,706.0
7,2173.0
6,2203.0
1,1392.0
7,765.0
7,1137.0
6,3537.0
1,2001.0
6,1313.0
6,473.0
6,3512.0
7,3974.0
4,97.0
4,3864.0
6,2581.0
6,878.0
1,320.0
6,2078.0
7,3438.0
,47671.8
